Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
61, 3, 2100, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0
59, 2, 1400, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
57, 3, 2100, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
56, 4, 2800, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0
55, 3, 2100, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
53, 4, 2800, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
52, 2, 1400, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
51, 4, 2800, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0
50, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
49, 1, 650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
48, 4, 2600, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
47, 1, 650, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
46, 3, 1950, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
45, 3, 1950, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0
44, 3, 1950, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1
43, 2, 1300, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
42, 2, 1300, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
40, 4, 2600, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1
27, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
26, 1, 650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
25, 2, 1300, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
20, 5, 3250, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0
19, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 3, 1950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
15, 2, 1300, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
14, 3, 1950, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
13, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
12, 2, 1300, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 3, 1950, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 2, 1300, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 3, 1950, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1
4, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 7, 4550, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 4, 2600, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1
1, 2, 1300, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
